ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr
1349,Kutschera et al. 1997a:315,Amygdalus mongolica,,Rosaceae,Semi-shrub,P,Woody,Dicot,D,broad-leaf,C3,2.69
1350,Kutschera et al. 1997a:321,Brachanthemum gobicum,,Asteraceae,Semi-shrub,P,Woody,Dicot,,,C3,1.22
1351,Kutschera et al. 1997a:319,Kalidium gracile,Callidium gracile,Amaranthaceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.1999
1352,Kutschera et al. 1997a:311,Convolvulus tragacanthoides,,Convolvulaceae,Semi-shrub,P,Woody,Dicot,,,C3,3.22
1353,Kutschera et al. 1997a:317,Haloxylon ammodendron,,Amaranthaceae,Shrub,P,Woody,Dicot,E,,C4,2.14
1354,Kutschera et al. 1997a;Kutschera & Lichtnegger (Wurtzelatlas 6) Figure 2,Nitraria sibirica,,Nitrariaceae,Semi-shrub,P,Woody,Dicot,,,C3,3.417
1355,Kutschera et al. 1997a:312 left,Olgaea leucophylla,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.77
1356,Kutschera et al. 1997a:312 right,Olgaea leucophylla,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.759
1357,Kutschera et al. 1997a:306,Salsola laricifolia,,Amaranthaceae,Semi-shrub,P,Woody,Dicot,,,C3-C4,0.5897
1358,Kutschera et al. 1997a:307,Salsola passerina,,Amaranthaceae,Semi-shrub,P,Woody,Dicot,,,C4,1.04
1359,Kutschera et al. 1997a:309,Sympegma regelii,,Amaranthaceae,Semi-shrub,P,Woody,Dicot,,,C3,3.58
1360,Kutschera et al. 1997a:310,Zygophyllum xanthoxylon,,Zygophyllaceae,Semi-shrub,P,Woody,Dicot,,,C3,5.7608
1361,Kutschera et al. 1997a:253,Artemisia santonica,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,0.66
1362,Kutschera et al. 1997a:254,Camphorosma annua,,Amaranthaceae,Forb,A,Herbaceous,Dicot,,,C4,0.53
1363,Kutschera et al. 1997a:252,Limonium tataricum,,Plumbaginaceae,Forb,P,Herbaceous,Dicot,,,C3,1.29
1364,Kutschera et al. 1997a:50,Carpinus betulus,,Betulaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,3.84
1365,Kutschera et al. 1997a:297,Achnatherum splendens,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1.41
1366,Kutschera et al. 1997a:299,Allium polyrhizum,,Amaryllidaceae,Forb,P,Herbaceous,Monocot,,,C3,0.16
1367,Kutschera et al. 1997a; Kutschera & Lichtenegger 2002 as Euphorbia sibirica,Euphorbia mongolica,,Euphorbiaceae,Forb,P,Herbaceous,Dicot,,,C4,1.67
1368,Kutschera et al. 1997a:298,Iris bungei,,Iridaceae,Forb,P,Herbaceous,Monocot,,,C3,1.16
1369,Kutschera et al. 1997a:301 left,Rheum nanum,,Polygonaceae,Forb,P,Herbaceous,Dicot,,,C3,0.6415
1370,Kutschera et al. 1997a:301 left-middle,Rheum nanum,,Polygonaceae,Forb,P,Herbaceous,Dicot,,,C3,0.7304
1371,Kutschera et al. 1997a:301 right-middle,Rheum nanum,,Polygonaceae,Forb,P,Herbaceous,Dicot,,,C3,0.3059
1372,Kutschera et al. 1997a:301 right,Rheum nanum,,Polygonaceae,Forb,P,Herbaceous,Dicot,,,C3,0.6564
1373,Kutschera et al. 1997a;Kutschera & Lichtenegger 2002,Quercus robur,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,2.94
1374,Kutschera & Lichtenegger 1960:120,Brassica napus,,Brassicaceae,Forb,A,Herbaceous,Dicot,,,C3,1.61
1375,Kutschera & Lichtenegger 1960:241,Achillea millefolium,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.8935
1376,Kutschera & Lichtenegger 1960:188,Anchusa officinalis,,Boraginaceae,Forb,P,Herbaceous,Dicot,,,C3,1.18
1377,Kutschera & Lichtenegger 1960:131,Cardamine hirsuta,,Brassicaceae,Forb,A,Herbaceous,Dicot,,,C3,0.37
1378,Kutschera & Lichtenegger 1960,Cardaria draba,Lepidium draba,Brassicaceae,Forb,P,Herbaceous,Dicot,,,C3,1.18
1379,Kutschera & Lichtenegger 1960,Equisetum arvense,,Equisetaceae,Forb,P,Herbaceous,Pteridophyte,,,C3,1.7
1380,Kutschera & Lichtenegger 1960:130,Erophila verna,,Brassicaceae,Forb,A,Herbaceous,Dicot,,,C3,0.06
1381,Kutschera & Lichtenegger 1960:162,Geranium molle,,Geraniaceae,Forb,A,Herbaceous,Dicot,,,C3,0.53
1382,Kutschera & Lichtenegger 1960:151,Lotus corniculatus,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,0.65
1383,Kutschera & Lichtenegger 1960:132,Rorippa sylvestris,,Brassicaceae,Forb,P,Herbaceous,Dicot,,,C3,0.79
1384,Kutschera & Lichtenegger 1960,Symphytum officinale,,Boraginaceae,Forb,P,Herbaceous,Dicot,,,C3,1.8
1385,Kutschera & Lichtenegger 1960,Taraxacum officinale,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.42
1386,Kutschera & Lichtenegger 1960:145,Trifolium hybridum,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,0.3
1387,Kutschera & Lichtenegger 1960:146a,Trifolium repens,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,0.7
1388,Kutschera & Lichtenegger 1960,Valerianella carinata,family: Valerianaceae,Caprifoliaceae,Forb,A,Herbaceous,Dicot,,,C3,0.1
1389,Kutschera & Lichtenegger 1960:56,Panicum capillare,,Poaceae,Grass,A,Herbaceous,Monocot,,,C4,0.62
1390,Kutschera & Lichtenegger 1960:58,Panicum ischaemum,,Poaceae,Grass,A,Herbaceous,Monocot,,,C4,0.43
1391,Kutschera & Lichtenegger 1960:57,Panicum sanguinale,,Poaceae,Grass,A,Herbaceous,Monocot,,,C4,0.37
1392,Kutschera & Lichtenegger 1960:60a,Panicum crus-galli,,Poaceae,Grass,A,Herbaceous,Monocot,,,C4,1.16
1393,Kutschera & Lichtenegger 1960:61,Setaria pumila,,Poaceae,Grass,A,Herbaceous,Monocot,,,C4,0.37
1394,Kutschera & Lichtenegger 1960:74,Polygonum aviculare,,Polygonaceae,Forb,A,Herbaceous,Dicot,,,C3,0.72
1395,Kutschera & Lichtenegger 1960:85,Chenopodium album,,Amaranthaceae,Forb,A,Herbaceous,Dicot,,,C3,1.06
1396,Kutschera & Lichtenegger 1960:89,Amaranthus retroflexus,,Amaranthaceae,Forb,A,Herbaceous,Dicot,,,C4,1.22
1397,Kutschera & Lichtenegger 1960:71,Rumex crispus,,Polygonaceae,Forb,P,Herbaceous,Dicot,,,C3,3.25
1398,Kutschera & Lichtenegger 1960:66,Ornithogalum umbellatum,,Liliaceae,Forb,P,Herbaceous,Monocot,,,C3,0.0869
1399,Kutschera & Lichtenegger 1960:106,Holosteum umbellatum,,Caryophyllaceae,Forb,A,Herbaceous,Dicot,,,C3,0.24
1400,Kutschera et al. 1997b:326,Aloe litoralis,,Asphodelaceae,Succulent,P,NA,Monocot,,,CAM,0.906
1401,Kutschera et al. 1997b:38,Enneapogon scoparius,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,0.65
1402,Kutschera et al. 1997b:39,Kleinia longiflora,,Asteraceae,Succulent,P,NA,Dicot,,,CAM,0.15
1403,Kutschera et al. 1997b:37,Rhigozum trichotomum,,Bignoniaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,2.15
1404,Kutschera et al. 1997b:40,Schmidtia kalahariensis,,Poaceae,Grass,A,Herbaceous,Monocot,,,C4,1.01
1405,Kutschera et al. 1997b:41,Stipagrostis amabilis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,2.06
1406,Kutschera et al. 1997b:42,Stipagrostis uniplumis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,2.36
1407,Kutschera et al. 1997a;Fig. 19 Kutschera & Lichtenegger 1997,Acanthosicyos horrida,,Cucurbitaceae,Shrub,P,Woody,Dicot,E,,C3,4.72
1408,Kutschera et al. 1997b;Fig. 26 Kutschera & Lichtenegger 1997,Arthraerua leubnitziae,,Amaranthaceae,Succulent,P,NA,Dicot,,,C3,2.44
1409,Kutschera et al. 1997b:23,Lithops ruschiorum,,Aizoaceae,Succulent,P,NA,Dicot,,,CAM,0.07
1410,Kutschera et al. 1997b:22,Mesembryanthemum guerichianum,,Aizoaceae,Forb,A,Herbaceous,Dicot,,,C3,0.52
1411,Kutschera et al. 1997b:24,Odyssea paucinervis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.69
1412,Kutschera et al. 1997b:25,Tetragonia reduplicata,,Aizoaceae,Semi-shrub,P,Woody,Dicot,,,CAM,1.6
1413,Kutschera et al. 1997b;Fig. 325 Kutschera & Lichtenegger 1997,Trianthema hereroensis,Trianthema hereroides,Aizoaceae,Semi-shrub,P,Woody,Dicot,,,C4,1.48
1414,Kutschera et al. 1997b:21,Tribulus zeyheri var. pechuelii,,Zygophyllaceae,Semi-shrub,P,Woody,Dicot,,,C4,0.6
1415,Kutschera et al. 1997b:17,Welwitschia mirabilis,,Welwitschiaceae,Succulent,P,NA,Gymnosperm,,,CAM,1.6
1416,Kutschera et al. 1997b:28,Zygophyllum clavatum,,Zygophyllaceae,Semi-shrub,P,Woody,Dicot,,,C3,1.99
1417,Kutschera et al. 1997b:29,Zygophyllum stapffii,,Zygophyllaceae,Semi-shrub,P,Woody,Dicot,,,C3,2.07
1418,Kutschera et al. 1997b:20,Acanthosicyos horrida,,Cucurbitaceae,Shrub,P,Woody,Dicot,E,,C3,2.05
1419,Kutschera et al. 1997b:27,Arthraerua leubnitziae,,Amaranthaceae,Succulent,P,NA,Dicot,,,C3,1.67
1420,Kutschera et al. 1997b:31,Trianthema hereroensis,,Aizoaceae,Semi-shrub,P,Woody,Dicot,,,C4,0.7
1421,Kutschera et al. 1997b;Fig. 32 Kutschera & Lichtenegger 1997,Commiphora saxicola,,Burseraceae,Shrub,P,Woody,Dicot,,,C3,0.4
1422,Kutschera et al. 1997b;Kutschera & Lichtenegger 1997,Commiphora tenuipetiolata,,Burseraceae,Shrub,P,Woody,Dicot,,,C3,0.98
1423,Kutschera et al. 1997b:33,Euphorbia damarana,,Euphorbiaceae,Succulent,P,NA,Dicot,,,CAM,0.44
1424,Kutschera et al. 1997b:34,Euphorbia virosa,,Euphorbiaceae,Succulent,P,NA,Dicot,,,CAM,0.3
1425,Kutschera et al. 1997b;Kutschera & Lichtenegger 1997,Stipagrostis obtusa,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,0.29
1426,Kutschera et al. 1997b;Kutschera & Lichtenegger 1997,Colophospermum mopane,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,0.8
1427,Laitakari 1929,Pinus sylvestris,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,3.2
1428,Laitakari 1934,Betula verrucosa,,Betulaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.1
1429,Laitakari 1934,Betula verrucosa,,Betulaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.1
1430,Laitakari 1934,Betula odorata,,Betulaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,2.7
1431,Lamont & Lange 1976:p. 358,Eucalyptus gomphocephala,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,15
1432,Leduc et al. 2001:p. 50,Faidherbia albida,,Fabaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,40
1433,Lee & Lauenroth 1994,Atriplex canescens,,Amaranthaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C4,2.01
1434,Lee & Lauenroth 1994,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa; Chrysothamnus nauseosus,Asteraceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.96
1435,Lee & Lauenroth 1994,Gutierrezia sarothrae,Gutierrezia sarothrae (Pursh) Britton & Rusby,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,2
1436,Leistner 1967,Acacia erioloba,,Fabaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,45
1437,Lewis & Burgy 1964:Table 2,Quercus douglasii,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,24.38
1438,Lewis & Burgy 1964:Table 1,Quercus kelloggii,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,12.83
1439,Lewis & Burgy 1964:Table 1,Quercus lobata,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,7.41
1440,Lewis & Burgy 1964:Table 2,Quercus wislizenii,,Fagaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,20.72
1441,Lichtenegger 1996,Carlina acaulis,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,4.08
1442,Link et al. 1990:p. 509,Bromus tectorum,,Poaceae,Grass,A,Herbaceous,Monocot,,,C3,0.5
1443,Link et al. 1990:p. 509,Poa secunda,Poa sandbergii,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.35
1444,Link et al. 1995:Table 2.3,Artemisia tridentata,,Asteraceae,Shrub,P,Woody,Dicot,E,,C3,3
1445,Link et al. 1995:Table 2.3,Bromus tectorum,,Poaceae,Grass,A,Herbaceous,Monocot,,,C3,0.6
1446,Link et al. 1995:Table 2.3,Bromus tectorum,,Poaceae,Grass,A,Herbaceous,Monocot,,,C3,0.8
1447,Link et al. 1995:Table 2.3,Grayia spinosa,,Amaranthaceae,Semi-shrub,P,Woody,Dicot,E,broad-leaf,C3,2
1448,Link et al. 1995:Table 2.3,Sisymbrium altissimum,,Brassicaceae,Forb,A,Herbaceous,Dicot,,,C3,0.97
1449,Louw & Seely 1980,Stipagrostis sabulicola,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,0.7
1450,Ludwig 1977:3,Prosopis glandulosa,,Fabaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,
1451,Lyford 1980,Quercus rubra,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1
1452,Manning & Barbour 1988,Ericameria cooperi,Haplopappus cooperi,Asteraceae,Semi-shrub,P,Woody,Dicot,E,broad-leaf,C3,1.3
1453,Manning & Groeneveld 1989:3,Artemisia spinescens,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.28
1454,Manning & Groeneveld 1989:9,Artemisia tridentata ssp. tridentata,,Asteraceae,Shrub,P,Woody,Dicot,E,,C3,2.01
1455,Manning & Groeneveld 1989:4,Coleogyne ramosissima,,Rosaceae,Semi-shrub,P,Woody,Dicot,,,C3,1.11
1456,Manning & Groeneveld 1989:1,Ephedra nevadensis,,Ephedraceae,Semi-shrub,P,Woody,Gymnosperm,E,,C3,0.67
1457,Manning & Groeneveld 1989:5,Ericameria cooperi,Haplopappus cooperi,Asteraceae,Semi-shrub,P,Woody,Dicot,E,broad-leaf,C3,1.47
1458,Manning & Groeneveld 1989:10,Ericameria teretifolia,Chrysothamnus teretifolius,Asteraceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,2
1459,Manning & Groeneveld 1989:2,Grayia spinosa,,Amaranthaceae,Semi-shrub,P,Woody,Dicot,E,broad-leaf,C3,0.96
1460,Manning & Groeneveld 1989:6,Hymenoclea salsola,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.02
1461,Manning & Groeneveld 1989:7,Tetradymia axillaris,,Asteraceae,Semi-shrub,P,Woody,Dicot,,,C3,2.1
1462,Markle 1917,Artemisia tridentata ssp. tridentata,,Asteraceae,Shrub,P,Woody,Dicot,E,,C3,0.91
1463,Markle 1917,Atriplex canescens,,Amaranthaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C4,1.36
1464,Markle 1917,Cucurbita foetidissima,,Cucurbitaceae,Forb,P,Herbaceous,Dicot,,,C3,0.51
1465,Markle 1917,Ephedra trifurca,,Ephedraceae,Semi-shrub,P,Woody,Gymnosperm,,,C3,3.35
1466,Markle 1917,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa; Chrysothamnus nauseosus,Asteraceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,2.54
1467,Markle 1917,Eriogonum effusum,,Polygonaceae,Semi-shrub,P,Woody,Dicot,E,,C3,2.03
1468,Markle 1917,Gilia rigidula ssp. acerosa,Dysodia acerosum,Polemoniaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.99
1469,Markle 1917,Gutierrezia sarothrae,Gutierrezia sarothrae (Pursh) Britton & Rusby,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.12
1470,Markle 1917,Linum rigidum,,Linaceae,Forb,A,Herbaceous,Dicot,,,C3,0.13
1471,Markle 1917,Opuntia imbricata,Opuntia arborescens,Cactaceae,Succulent,P,NA,Dicot,,,CAM,0.76
1472,Markle 1917,Solanum elaeagnifolium,,Solanaceae,Forb,P,Herbaceous,Dicot,,,C3,1.65
1473,McKell et al. 1962,Erodium botrys,,Geraniaceae,Forb,A,Herbaceous,Dicot,,,C3,1.3
1474,Meinzer 1927,Sarcobatus vermiculatus,,Sarcobataceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,17.3
1475,Mensah & Jenik 1968,Milicia excelsea,Chlorophora excelsea,Moraceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,2
1476,Midwood et al. 1998,Schaefferia cuneifolia,,Celastraceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,1.2
1477,Midwood et al. 1998,Zanthoxylum fagara,,Rutaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,1.2
1478,Midwood et al. 1998,Ziziphus obtusifolia,,Rhamnaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,1.6
1479,Migahid 1961,Artemisia monosperma,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,0.92
1480,Migahid 1961,Citrullus colocynthis,Colocynthis vulgaris,Cucurbitaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.77
1481,Migahid 1961,Haloxylon salicornicum,Hammada salicornica,Amaranthaceae,Semi-shrub,P,Woody,Dicot,E,,C4,0.72
1482,Migahid 1961,Hyoscyamus muticus,,Solanaceae,Semi-shrub,P,Woody,Dicot,E,broad-leaf,C3,0.83
1483,Migahid 1961,Hyoscyamus muticus,,Solanaceae,Semi-shrub,P,Woody,Dicot,E,broad-leaf,C3,0.86
1484,Migahid 1961,Lygos raetam,Retama raetam,Fabaceae,Shrub,P,Woody,Dicot,E,,C3,1.01
1485,Migahid 1961,Matthiola longipetiolata ssp. livida,Matthiola livida,Brassicaceae,Forb,A,Herbaceous,Dicot,,,C3,0.1
1486,Migahid 1961,Opophytum forskahlii,Mesembryanthemum forskalei,Aizoaceae,Forb,A,Herbaceous,Dicot,,,C3,0.1
1487,Migahid 1961,Pancratium sickenbergeri,,Amaryllidaceae,Forb,A,Herbaceous,Monocot,,,C3,0.23
1488,Migahid 1961,Plantago ovata,,Plantaginaceae,Forb,A,Herbaceous,Dicot,,,C3,0.13
1489,Migahid 1961,Schismus barbatus,Schismus calycinus,Poaceae,Grass,A,Herbaceous,Monocot,,,C3,0.16
1490,Migahid 1961,Trigonella stellata,,Fabaceae,Forb,A,Herbaceous,Dicot,,,C3,0.16
1491,Migahid 1961,Zygophyllum simplex,,Zygophyllaceae,Forb,A,Herbaceous,Dicot,,,C4,0.09
1492,Miller & Ng 1977:Table 1,Adenostoma fasciculatum,,Rosaceae,Shrub,P,Woody,Dicot,E,needle-leaf,C3,0.3
1493,Miller & Ng 1977:Table 1,Adenostoma fasciculatum,,Rosaceae,Shrub,P,Woody,Dicot,E,needle-leaf,C3,1
1494,Miller & Ng 1977:Table 1,Adenostoma fasciculatum,,Rosaceae,Shrub,P,Woody,Dicot,E,needle-leaf,C3,1
1495,Miller & Ng 1977:Table 1,Arctostaphylos glauca,,Ericaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.3
1496,Miller & Ng 1977:Table 1,Ceanothus greggii,,Rhamnaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.3
1497,Miller & Ng 1977:Table 1,Ceanothus greggii,,Rhamnaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.3
1498,Miller & Ng 1977:Table 1,Heteromeles arbutifolia,,Rosaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.3
1499,Miller & Ng 1977:Table 1,Colliguaya odorifera,,Euphorbiaceae,Shrub,P,Woody,Dicot,,,C3,0.3
1500,Miller & Ng 1977:Table 1,Colliguaya odorifera,,Euphorbiaceae,Shrub,P,Woody,Dicot,,,C3,0.6
1501,Miller & Ng 1977:Table 1,Satureja gilliesii,,Lamiaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.4
1502,Miller & Ng 1977:Table 1,Satureja gilliesii,,Lamiaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.6
1503,Miller & Ng 1977:Table 1,Satureja gilliesii,,Lamiaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.7
1504,Miller & Ng 1977:Table 1,Satureja gilliesii,,Lamiaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.85
1505,Millikin & Bledsoe 1999,Quercus douglasii,,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.5
1506,Miroshnichenko 1975:13,Astragalus paucijugus,,Fabaceae,Shrub,P,Woody,Dicot,,,C3,1.7
1507,Miroshnichenko 1975:14,Haloxylon ammodendron,,Amaranthaceae,Tree,P,Woody,Dicot,E,,C4,6
1508,Miroshnichenko 1975:7,Haloxylon persicum,,Amaranthaceae,Tree,P,Woody,Dicot,E,,C4,2.18
1509,Miroshnichenko 1975:10,Salsola richteri,,Amaranthaceae,Shrub,P,Woody,Dicot,,,C4,1.42
1510,Mooney et al. 1980;Fan et al. 2017,Prosopis tamarugo,,Fabaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,3.5
1511,Mordelet et al 1996:Figs. 1 & 2,Borassus aethiopum,,Arecaceae,Tree,P,Woody,Monocot,E,palm,C3,1.2
1512,Moreira et al. 2000:5,Panicum maximum,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,3.5
1513,Moreira et al. 2000:5,Panicum maximum,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,3
1514,Morello 1955,Atriplex lampa,,Amaranthaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C4,0.9
1515,Morello 1955,Larrea cuneifolia,,Zygophyllaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,
1516,Morello 1955,Larrea divaricata,,Zygophyllaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,
1517,Morello 1955,Larrea nitida,,Zygophyllaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,
1518,Morello 1955,Suaeda divaricata,,Amaranthaceae,Shrub,P,Woody,Dicot,,,C4,0.7
1519,Morello 1955,Suaeda divaricata,,Amaranthaceae,Shrub,P,Woody,Dicot,,,C4,1.8
1520,Morello 1955,Zuccagnia punctata,,Fabaceae,Shrub,P,Woody,Dicot,,broad-leaf,C3,
1521,Morello 1956,Larrea divaricata,,Zygophyllaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,4
1522,Morello 1958,Bulnesia schikendantzii,,Zygophyllaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,4
1523,Morello 1958,Plectrocarpa rougesii,,Zygophyllaceae,Shrub,P,Woody,Dicot,,broad-leaf,C3,2
1524,Muller 1946,Agave lecheguilla,family: Agavaceae,Asparagaceae,Succulent,P,NA,Monocot,,,CAM,0.61
1525,Muller 1946,Parthenium argentatum,guayule,Asteraceae,Semi-shrub,P,Woody,Dicot,,broad-leaf,C3,0.76
1526,Muller 1946,Parthenium incanum,,Asteraceae,Semi-shrub,P,Woody,Dicot,,broad-leaf,C3,0.42
1527,Muller 1946,Bouteloua breviseta,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,0.5
1528,Nechaeva & Mukhammedov 1985:Table 6.13,Ephedra strobilacea,,Ephedraceae,Shrub,P,Woody,Gymnosperm,E,,C3,2.8
1529,Nechaeva & Mukhammedov 1985:Table 6.13,Halothamnus subaphyllus,Aellenia turcomanica,Amaranthaceae,Shrub,P,Woody,Dicot,,,C4,3.1
1530,Nechaeva & Mukhammedov 1985:Table 6.13,Haloxylon aphyllum,,Amaranthaceae,Tree,P,Woody,Dicot,E,,C4,8.5
1531,Nechaeva & Mukhammedov 1985:Table 6.13,Haloxylon persicum,,Amaranthaceae,Shrub,P,Woody,Dicot,E,,C4,9.8
1532,Nechaeva & Mukhammedov 1985:Table 6.13,Salsola richteri,,Amaranthaceae,Shrub,P,Woody,Dicot,,,C4,2.5
1533,Nechaeva & Prikhod'ko 1968,Arnebia transcaspica,,Boraginaceae,Forb,A,Herbaceous,Dicot,,,C3,0.53
1534,Nechaeva & Prikhod'ko 1968,Artemisia badhysi,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,2.2
1535,Nechaeva & Prikhod'ko 1968,Artemisia badhysi,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,2.4
1536,Nechaeva & Prikhod'ko 1968,Astragalus unifoliolatus,,Fabaceae,Semi-shrub,P,Woody,Dicot,,,C3,1.99
1537,Nechaeva & Prikhod'ko 1968,Astragalus unifoliolatus,,Fabaceae,Semi-shrub,P,Woody,Dicot,E,broad-leaf,C3,2.1
1538,Nechaeva & Prikhod'ko 1968,Astragalus unifoliolatus,,Fabaceae,Semi-shrub,P,Woody,Dicot,E,broad-leaf,C3,2.5
1539,Nechaeva & Prikhod'ko 1968,Bromus tectorum,,Poaceae,Grass,A,Herbaceous,Monocot,,,C3,0.6
1540,Nechaeva & Prikhod'ko 1968,Calligonum setosum,,Polygonaceae,Shrub,P,Woody,Dicot,E,,C4,1.73
1541,Nechaeva & Prikhod'ko 1968:Table 24,Calligonum setosum,,Polygonaceae,Shrub,P,Woody,Dicot,E,,C4,3.5
1542,Nechaeva & Prikhod'ko 1968,Carex pachystylis,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,1
1543,Nechaeva & Prikhod'ko 1968,Centaurea belangeriana,,Asteraceae,Forb,A,Herbaceous,Dicot,,,C3,0.85
1544,Nechaeva & Prikhod'ko 1968,Descurainia sophia,,Brassicaceae,Forb,A,Herbaceous,Dicot,,,C3,1.1
1545,Nechaeva & Prikhod'ko 1968:Table 24,Ephedra strobilacea,,Ephedraceae,Shrub,P,Woody,Gymnosperm,E,,C3,3.7
1546,Nechaeva & Prikhod'ko 1968,Ferula badrakema,,Apiaceae,Forb,P,Herbaceous,Dicot,,,C3,0.7
1547,Nechaeva & Prikhod'ko 1968,Halothamnus subaphyllus,Aellenia subaphylla,Amaranthaceae,Shrub,P,Woody,Dicot,,,C4,1.5
1548,Nechaeva & Prikhod'ko 1968:Table 24,Halothamnus subaphyllus,Aellenia subaphylla,Amaranthaceae,Shrub,P,Woody,Dicot,,,C4,6.8
1549,Nechaeva & Prikhod'ko 1968,Haloxylon persicum,,Amaranthaceae,Shrub,P,Woody,Dicot,E,,C4,3
1550,Nechaeva & Prikhod'ko 1968,Heliotropium arguzioides,,Boraginaceae,Forb,P,Herbaceous,Dicot,,,C3,0.48
1551,Nechaeva & Prikhod'ko 1968,Hordeum leporinum,,Poaceae,Grass,A,Herbaceous,Monocot,,,C3,0.44
1552,Nechaeva & Prikhod'ko 1968,Poa bulbosa var. vivipara,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.75
