uniqueID,lat,long,XFT database,Group,Family,Genus,Species,class_gbif,order_gbif,family_gbif,binomial_gnr,genus_gnr,species_gnr,subsp/var/f/hybrid/mutant,subsp. Name,Plant organ,Developmental stage,Growth form,N / G,"Mega-, meso-, micro-, 4",Height max (m),Height actual (m),DBH (cm),Year,Month(s),Day,Hemisphere,P50,P50 number of samples,P50 SD,P50 SE,P12,P88,Curve,Equation,P50 method,Ks (kg m-1 MPa-1 s-1),"Ks SE (standard error, kg m-1 MPa-1 s-1)",KL (kg m-1 MPa-1 s-1),"KL SE (standard error, kg m-1 MPa-1 s-1)",psi-min predawn (MPa),SE psi-min predawn (MPa),psi- min midday (MPa),SE psi-min midday (MPa),Huber value (m2 m-2),Leaf to sapwood area ratio (m2 m-2),Sapwood capacitance (kg m-3 MPa-1),Av. tracheid length (?m),Av. vessel length (cm),Vessel length method,Max vessel length (cm),Av. conduit diameter (?m),dh mean hydraulic diameter (?m),Conduit density per mm2,Vessel grouping index,Ac (intervessel contact fraction),Intervessel pit membrane surface area (µm2),Interconduit pit diameter (?m),Outer pit aperture diameter (?m),Aperture/pit size,Pit membrane thickness (nm),Torus diameter (um),Torus overlap,Vestured pits,Fp (pit fraction),Ap (interconduit pit (membrane) area mm2),Porosity,Perforation plates,Ground tissue,Vasicentric tracheids,MOR (MPa),EI (N m2),MOE (MPa),t (interconduit cell wall thickness; um),(t/b)2,d (g/cm3),SLA (cm2 g-1),LMA (g m-2),Leaf size (cm2),K_leaf_max,Total stomata density,Stomatal index,Gs (mol m-2 s-1),Gsmin (mol m-2 s-1),Gcut (mol m-2 s-1),Phenology,Amax (micromol/m2/s),d13C,TLP (MPa),Location,Country,Altitude (m),Altitude provenance (m),Soil density (kg/m?),Sand (%),Clay (%),Silt (%) (= 100% - % clay - % sand),Short reference (authors year),Reference - DOI number,Contributor I name,Contributor II name = ROW DOUBLE-CHECKED,Notes
4412,34.13333333,-117.8333333,2009-2012 period,angiosperm,Moraceae,Ficus,burkei,Magnoliopsida,Rosales,Moraceae,Ficus burkei,Ficus,burkei,,,S,A,T,N,,,,,,,,,-1.12,,,,,,,,CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diffuse-porous,,,,,,,,,,,,,,,,,,,E,,,,Los Angeles Botanical Garden/Arboretum,North America,,,,,,,Litvak et al. 2012,10.1093/treephys/tps015,Hugh Morris and Brendan Choat,William Hammond,
4413,34.13333333,-117.8333333,2009-2012 period,angiosperm,Altingiaceae,Liquidambar,styraciflua,Magnoliopsida,Saxifragales,Altingiaceae,Liquidambar styraciflua,Liquidambar,styraciflua,,,S,A,T,N,,,,,,,,,-2.8,,,,,,,,CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diffuse-porous,,,,,,,,,,,,,,,,,,,W,,,,Los Angeles Botanical Garden/Arboretum,North America,,,,,,,Litvak et al. 2012,10.1093/treephys/tps015,Hugh Morris and Brendan Choat,William Hammond,
4414,34.13333333,-117.8333333,2009-2012 period,angiosperm,Magnoliaceae,Magnolia,grandiflora,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia grandiflora,Magnolia,grandiflora,,,S,A,T,N,,,,,,,,,-2.02,,,,,,,,CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diffuse-porous,,,,,,,,,,,,,,,,,,,E,,,,Los Angeles Botanical Garden/Arboretum,North America,,,,,,,Litvak et al. 2012,10.1093/treephys/tps015,Hugh Morris and Brendan Choat,William Hammond,
4415,34.13333333,-117.8333333,2009-2012 period,angiosperm,Pittosporaceae,Pittosporum,undulatum,Magnoliopsida,Apiales,Pittosporaceae,Pittosporum undulatum,Pittosporum,undulatum,,,S,A,T,N,,,,,,,,,-1.19,,,,,,,,CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diffuse-porous,,,,,,,,,,,,,,,,,,,E,,,,Los Angeles Botanical Garden/Arboretum,North America,,,,,,,Litvak et al. 2012,10.1093/treephys/tps015,Hugh Morris and Brendan Choat,William Hammond,
4416,34.13333333,-117.8333333,2009-2012 period,angiosperm,Platanaceae,Platanus,racemosa,Magnoliopsida,Proteales,Platanaceae,Platanus racemosa,Platanus,racemosa,,,S,A,T,N,,,,,,,,,-1.56,,,,,,,,CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diffuse-porous,,,,,,,,,,,,,,,,,,,W,,,,Los Angeles Botanical Garden/Arboretum,North America,,,,,,,Litvak et al. 2012,10.1093/treephys/tps015,Hugh Morris and Brendan Choat,William Hammond,
4417,34.13333333,-117.8333333,2009-2012 period,angiosperm,Bignoniaceae,Tabebuia,Chrysotricha,Magnoliopsida,Lamiales,Bignoniaceae,Tabebuia chrysotricha,Tabebuia,chrysotricha,,,S,A,T,N,,,,,,,,,-0.19,,,,,,,,CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diffuse-porous,,,,,,,,,,,,,,,,,,,D,,,,Los Angeles Botanical Garden/Arboretum,North America,,,,,,,Litvak et al. 2012,10.1093/treephys/tps015,Hugh Morris and Brendan Choat,William Hammond,
4418,34.13333333,-117.8333333,2009-2012 period,angiosperm,Apocynaceae,Thevetia,peruviana,Magnoliopsida,Gentianales,Apocynaceae,Thevetia peruviana,Thevetia,peruviana,,,S,A,T,N,,,,,,,,,-0.71,,,,,,,,CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diffuse-porous,,,,,,,,,,,,,,,,,,,E,,,,Los Angeles Botanical Garden/Arboretum,North America,,,,,,,Litvak et al. 2012,10.1093/treephys/tps015,Hugh Morris and Brendan Choat,William Hammond,
4419,38.25,15.583,2009-2012 period,angiosperm,Salicaceae,Populus,deltoides,Magnoliopsida,Malpighiales,Salicaceae,Populus deltoides,Populus,deltoides,,,S,A,T,N,1,,,,,,,,-1.21,,,,-0.32,-2.15,S,,DH,,,3.00E-04,,,,,,,,,,,,28,,,,,,,,,,,,,non-vestured,,,diffuse-porous,simple,fibers,no,,,,,,,,,,,,,,,,W,,,,Messina,Italy,60,,,,,,Lo Gullo & Salleo 1992,10.1111/j.1365-3040.1992.tb00993.x,Nardini,William Hammond,
4420,38.25,15.583,2009-2012 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,G,2,,,,,,,,-2.95,,,,-2.12,-3.98,S,L,DH,,,1.20E-04,,-0.7,,-1.7,,,,,,6,,11,25,,,1,0.015,,5.73,1.6,0.27923211,689,,,non-vestured,0.022,0.426236,diffuse-porous,,fibers,yes,,,,4.184,,,57.1,,,,,,0.18,,,E,,,,Messina,Italy,60,,,,,,Lo Gullo & Salleo 1993,10.1111/j.1365-3040.1993.tb00898.x,Nardini,William Hammond,pit membrane thickness and t values from Jansen et al. 2009
4421,9.166666667,-79.846036,2009-2012 period,angiosperm,Podocarpaceae,Bursera,simaruba,Magnoliopsida,Sapindales,Burseraceae,Bursera simaruba,Bursera,simaruba,,,S,A,T,N,1,30,,,,,,,-0.9,,,,-0.2,-1.9,E,W,AD,,,5.90E-04,,,,-1.6,,2.82E-05,,,,,,,,,,,,,,,,,,,non-vestured,,,diffuse-porous,simple,fibers,no,,,,,,,,,,,,,,,,D,,,,Barro Colorado Island (BCI),Panama,100,100,,,,,Lopez et al. 2005,10.1093/treephys/25.12.1553,Cochard,William Hammond,
